index;conf_label;title;country;location;main_subject;start_time;end_time;series_label;series_short_name;beginnings;WikiCFP_identifier;DBLP_identifier
1454;Fundamental Approaches to Software Engineering, 6th International Conference, FASE 2003, Held as Part of the Joint European Conferences on Theory and Practice of Software, ETAPS 2003, Warsaw, Poland, April 7-11, 2003;Fundamental Approaches to Software Engineering, 6th International Conference, FASE 2003, Held as Part of the Joint European Conferences on Theory and Practice of Software;Poland;Warsaw;software engineering;07.04.2003;11.04.2003;Fundamental Approaches to Software Engineering;FASE;;1009.0;conf/fase
3910;36th Annual IEEE Computer Software and Applications Conference, COMPSAC 2012, Izmir, Turkey, July 16-20, 2012;36th Annual IEEE Computer Software and Applications Conference;Turkey;İzmir;;16.07.2012;20.07.2012;Annual International Computer Software and Applications Conference;COMPSAC;;548.0;conf/compsac
5587;Information Processing in Medical Imaging 2023;;Argentina;Bariloche;image processing;18.06.2023;23.06.2023;Information Processing in Medical Imaging;IPMI;;1643.0;conf/ipmi
6842;18th International Conference on Web Information Systems and Technologies;18th International Conference on Web Information Systems and Technologies;Malta;Valletta;;25.10.2022;27.10.2022;Web Information Systems and Technologies;WebIST;2005.0;3035.0;conf/webist
3443;1992 Symposium on Interactive 3D Graphics, SI3D '92, Cambridge, MA, USA, March 29 - April 1, 1992;1992 Symposium on Interactive 3D Graphics, SI3D '92;United States of America;Cambridge;3D computer graphics;29.03.1992;01.04.1992;ACM Symposium on Interactive 3D Graphics and Games;i3D;;1245.0;conf/si3d
1231;Technologies for E-Learning and Digital Entertainment, Third International Conference, Edutainment 2008, Nanjing, China, June 25-27, 2008;Technologies for E-Learning and Digital Entertainment, Third International Conference;People's Republic of China;Nanjing;;25.06.2008;27.06.2008;International Conference on E-learning and Games;Edutainment;;838.0;conf/edutainment
7312;VR 2011;IEEE Virtual Reality Conference 2011, VR 2011;Singapore;Singapore;;19.03.2011;23.03.2011;Virtual Reality and 3D User Interfaces;VR;;2970.0;conf/vr
2392;4th International IFIP/ACM Latin American Networking Conference, LANC 2007, San José, Costa Rica, October 10-11, 2007;4th International IFIP/ACM Latin American Networking Conference;Costa Rica;San José;;10.10.2007;11.10.2007;International Latin American Networking Conference;LANC;;1933.0;conf/lanc
7273;SAC 1999;1999 ACM Symposium on Applied Computing;United States of America;San Antonio;;28.02.1999;02.03.1999;Symposium on Applied Computing;SAC;;2524.0;conf/sac
916;Image Analysis and Recognition, Second International Conference, ICIAR 2005, Toronto, Canada, September 28-30, 2005;Image Analysis and Recognition, Second International Conference;Canada;Toronto;;28.09.2005;30.09.2005;International Conference on Image Analysis and Recognition;ICIAR;;1381.0;conf/iciar
7152;International Conference on Parallel Processing, ICPP'86, University Park, PA, USA, August 1986;International Conference on Parallel Processing;United States of America;Pennsylvania State University;;;;International Conference on Parallel Processing;ICPP;;1447.0;conf/icpp
3092;The Sixth International Conference on Knowledge Capture;;Canada;Banff;;25.06.2011;29.06.2011;K-CAP;;2001.0;1900.0;conf/kcap
1653;BCB '20: 11th ACM International Conference on Bioinformatics, Computational Biology and Health Informatics, Virtual Event, USA, September 21-24, 2020;11th ACM International Conference on Bioinformatics, Computational Biology and Health Informatics;United States of America;;health informatics;21.09.2020;24.09.2020;ACM International Conference on Bioinformatics, Computational Biology and Biomedicine;BCB;2010.0;275.0;conf/bcb
7650;49th International Conference on Very Large Data Bases;49th International Conference on Very Large Data Bases;Canada;Vancouver;;28.08.2023;01.09.2023;International Conference on Very Large Data Bases;;1975.0;2954.0;conf/vldb
3975;17th IEEE Asian Test Symposium, ATS 2008, Sapporo, Japan, November 24-27, 2008;17th IEEE Asian Test Symposium;Japan;Sapporo;;24.11.2008;27.11.2008;Asian Test Symposium;ATS;;254.0;conf/ats
258;ESWC 2018;;Greece;Aldemar Knossos Royal;Semantic Web;03.06.2018;07.06.2018;Extended Semantic Web Conference;ESWC;2004.0;932.0;conf/esws
1780;9th ACM Multimedia Systems Conference, MMSys 2018, Amsterdam, The Netherlands, June 12-15, 2018;9th ACM Multimedia Systems Conference;Netherlands;Amsterdam;;12.06.2018;15.06.2018;ACM SIGMM Conference on Multimedia Systems;MMSys;2010.0;2094.0;conf/mmsys
6613;14th International Conference on Hybrid Intelligent Systems, HIS 2014, Kuwait, December 14-16, 2014;14th International Conference on Hybrid Intelligent Systems;Kuwait;Kuwait City;;14.12.2014;16.12.2014;International Conference on Hybrid Intelligent Systems;HIS;;1196.0;conf/his
7241;Tenth International Symposium on Imprecise Probability: Theories and Applications, Lugano, Switzerland, 10-14 July 2017;Tenth International Symposium on Imprecise Probability: Theories and Applications;Switzerland;Lugano;probability;10.07.2017;14.07.2017;International Symposium on Imprecise Probabilities and Their Applications;ISIPTA;;1718.0;conf/isipta
8061;ISMB 2006;;;Fortaleza;;;;Intelligent Systems for Molecular Biology;ISMB;;1726.0;conf/ismb
4654;Database Technologies 2003, 14th Australasian Database Conference, ADC 2003, Adelaide, South Australia, February 2003;Database Technologies 2003, 14th Australasian Database Conference;Australia;Adelaide;;;;Australasian Database Conference;ADC;;55.0;conf/adc
5509;20th International Conference on Software Engineering;20th International Conference on Software Engineering;Japan;Kyoto;;19.04.1998;25.04.1998;International Conference on Software Engineering;ICSE;1975.0;1462.0;conf/icse
7754;Inclusive Smart Cities and e-Health - 13th International Conference on Smart Homes and Health Telematics, ICOST 2015, Geneva, Switzerland, June 10-12, 2015;Inclusive Smart Cities and e-Health - 13th International Conference on Smart Homes and Health Telematics;Switzerland;Geneva;;10.06.2015;12.06.2015;International Conference on Smart Homes and Health Telematics;ICOST;;1442.0;conf/icost
2087;18th ACM Symposium on Access Control Models and Technologies, SACMAT '13, Amsterdam, The Netherlands, June 12-14, 2013;18th ACM Symposium on Access Control Models and Technologies;Netherlands;Amsterdam;;12.06.2013;14.06.2013;ACM Symposium on Access Control Models and Technologies;SACMAT;;2527.0;conf/sacmat
6185;Leveraging Applications of Formal Methods, Verification, and Validation - 4th International Symposium on Leveraging Applications, ISoLA 2010, Heraklion, Crete, Greece, October 18-21, 2010;Leveraging Applications of Formal Methods, Verification, and Validation - 4th International Symposium on Leveraging Applications;Greece;Heraklion;;18.10.2010;21.10.2010;Leveraging Applications of Formal Methods;ISoLA;;1734.0;conf/isola
6434;Advances in Database Technology - EDBT 2006, 10th International Conference on Extending Database Technology, Munich, Germany, March 26-31, 2006;Advances in Database Technology - EDBT 2006, 10th International Conference on Extending Database Technology;Germany;Munich;;26.03.2006;31.03.2006;International Conference on Extending Database Technology;EDBT;1988.0;830.0;conf/edbt
7921;Fourth National Conference on Artificial Intelligence;;;Austin;;06.08.1984;10.08.1984;AAAI Conference on Artificial Intelligence;AAAI;1980.0;3.0;conf/aaai
2182;24th Asia-Pacific Software Engineering Conference, APSEC 2017, Nanjing, China, December 4-8, 2017;24th Asia-Pacific Software Engineering Conference;People's Republic of China;Nanjing;software engineering;04.12.2017;08.12.2017;Asia-Pacific Software Engineering Conference;APSEC;1994.0;205.0;conf/apsec
5683;13th International Conference on Electrical Engineering, Computing Science and Automatic Control, CCE 2016, Mexico City, Mexico, September 26-30, 2016;13th International Conference on Electrical Engineering, Computing Science and Automatic Control;Mexico;Mexico City;electrical engineering;26.09.2016;30.09.2016;International Conference on Electrical Engineering, Computing Science and Automatic Control;CCE;;386.0;conf/iceee
3104;ICWSM 2021;;;;;;;International AAAI Conference on Web and Social Media;ICWSM;;1513.0;conf/icwsm
473;Combinatorial Optimization and Applications - 9th International Conference, COCOA 2015, Houston, TX, USA, December 18-20, 2015;Combinatorial Optimization and Applications - 9th International Conference;United States of America;Houston;;18.12.2015;20.12.2015;International Conference on Combinatorial Optimization and Applications;COCOA;2007.0;522.0;conf/cocoa
7527;Wired/Wireless Internet Communications, 5th International Conference, WWIC 2007, Coimbra, Portugal, May 23-25, 2007;Wired/Wireless Internet Communications, 5th International Conference;Portugal;Coimbra;Internet;23.05.2007;25.05.2007;Wired/Wireless Internet Communications;WWIC;;3179.0;conf/wwic
7574;CC '20: 29th International Conference on Compiler Construction, San Diego, CA, USA, February 22-23, 2020;29th International Conference on Compiler Construction;United States of America;San Diego;;22.02.2020;23.02.2020;International Conference on Compiler Construction;CC;;379.0;conf/cc
1296;Intelligent Data Engineering and Automated Learning - IDEAL 2019 - 20th International Conference, Manchester, UK, November 14-16, 2019;Intelligent Data Engineering and Automated Learning - IDEAL 2019 - 20th International Conference;United Kingdom;Manchester;;14.11.2019;16.11.2019;International Conference on Intelligent Data Engineering and Automated Learning;IDEAL;;1524.0;conf/ideal
7481;18th USENIX Conference on File and Storage Technologies, FAST 2020, Santa Clara, CA, USA, February 24-27, 2020;18th USENIX Conference on File and Storage Technologies;United States of America;Santa Clara;;24.02.2020;27.02.2020;USENIX Conference on File and Storage Technologies;FAST;;1011.0;conf/fast
7997;27th European Conference on IR Research, ECIR 2005, Santiago de Compostela, Spain, March 21-23, 2005;27th European Conference on IR Research;Spain;Santiago de Compostela;;21.03.2005;23.03.2005;European Conference on Information Retrieval;ECIR;;807.0;conf/ecir
5849;Conceptual Structures: Knowledge Architectures for Smart Applications, 15th International Conference on Conceptual Structures, ICCS 2007, Sheffield, UK, July 22-27, 2007;Conceptual Structures: Knowledge Architectures for Smart Applications, 15th International Conference on Conceptual Structures;United Kingdom;Sheffield;;22.07.2007;27.07.2007;International Conference on Conceptual Structures;ICCS;;1321.0;conf/iccs
2239;2019 ACM Conference on Computer Supported Cooperative Work and Social Computing, CSCW 2019, Austin, TX, USA, November 09-13, 2019;2019 ACM Conference on Computer Supported Cooperative Work and Social Computing;United States of America;Austin;computer-supported cooperative work;09.11.2019;13.11.2019;Computer Supported Cooperative Work;;1986.0;594.0;conf/cscw
6829;3th International Conference on Web Information Systems and Technologies;3th International Conference on Web Information Systems and Technologies;Spain;Barcelona;;03.03.2007;06.03.2007;Web Information Systems and Technologies;WebIST;2005.0;3035.0;conf/webist
3100;The 17th Annual Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies;;United States of America;Minneapolis;natural language processing;02.06.2019;07.06.2019;Human Language Technology: Conference of the North American Chapter of the Association of Computational Linguistics;HLT-NAACL;;2170.0;conf/naacl
7250;Intelligent Distributed Computing XI - 11th International Symposium on Intelligent Distributed Computing - IDC 2017, Belgrade, Serbia, October 11-13, 2017;Intelligent Distributed Computing XI - 11th International Symposium on Intelligent Distributed Computing - IDC 2017;Serbia;Belgrade;;11.10.2017;13.10.2017;International Symposium on Intelligent Distributed Computing;IDC;;1520.0;conf/idc
5074;International Joint Conference - CISIS'15 and ICEUTE'15, 8th Computational Intelligence in Security for Information Systems Conference / 6th EUropean Transnational Education Conference, Burgos, Spain, 15-17 June, 2015;International Joint Conference - CISIS'15 and ICEUTE'15, 8th International Conference on Computational Intelligence in Security for Information Systems / 6th International Conference on EUropean Transnational Education;Spain;Burgos;;15.06.2015;17.06.2015;Computational Intelligence in Security for Information Systems;CISIS;;474.0;conf/cisis-spain
614;Computer Vision Systems, Third International Conference, ICVS 2003, Graz, Austria, April 1-3, 2003;Computer Vision Systems, Third International Conference;Austria;Graz;computer vision;01.04.2003;03.04.2003;International Conference on Computer Vision Systems;ICVS;;1501.0;conf/icvs
7342;2021 IEEE 46th Conference on Local Computer Networks;2021 IEEE 46th Conference on Local Computer Networks (LCN);;;;04.10.2021;07.10.2021;Conference on Local Computer Networks;LCN;1976.0;1947.0;conf/lcn
2125;Algorithms for Sensor Systems - 11th International Symposium on Algorithms and Experiments for Wireless Sensor Networks, ALGOSENSORS 2015, Patras, Greece, September 17-18, 2015;Algorithms for Sensor Systems - 11th International Symposium on Algorithms and Experiments for Wireless Sensor Networks;Greece;Patras;wireless sensor network;17.09.2015;18.09.2015;Algorithmic Aspects of Wireless Sensor Networks;ALGOSENSORS;;136.0;conf/algosensors
151;Neural Information Processing Systems 2000;Neural Information Processing Systems 2000;United States of America;Denver;;;;Conference on Neural Information Processing Systems;NeurIPS;1987.0;2212.0;conf/nips
5196;Computer Analysis of Images and Patterns - 14th International Conference, CAIP 2011, Seville, Spain, August 29-31, 2011;Computer Analysis of Images and Patterns - 14th International Conference;Spain;Seville;;29.08.2011;31.08.2011;International Conference on Computer Analysis of Images and Patterns;CAIP;;346.0;conf/caip
3227;Information and Communication on Technology for the Fight against Global Warming - First International Conference, ICT-GLOW 2011, Toulouse, France, August 30-31, 2011;Information and Communication on Technology for the Fight against Global Warming - First International Conference;France;Toulouse;;30.08.2011;31.08.2011;Information and Communication on Technology for the Fight against Global Warming;ICT-GLOW;;1493.0;conf/ictglow
620;of 34th International Conference on Computers and Their Applications, CATA 2019, Honolulu, Hawaii, USA, March 18-20, 2019;of 34th International Conference on Computers and Their Applications;United States of America;Honolulu;;18.03.2019;20.03.2019;International Conference on Computers and Their Applications;CATA;;371.0;conf/cata
6773;Thirtieth International Florida Artificial Intelligence Research Society Conference, FLAIRS 2017, Marco Island, Florida, USA, May 22-24, 2017;Thirtieth International Florida Artificial Intelligence Research Society Conference;United States of America;Marco Island;artificial intelligence;22.05.2017;24.05.2017;International Florida Artificial Intelligence Research Society Conference;FLAIRS;;1046.0;conf/flairs
3686;16th IEEE/ACIS International Conference on Computer and Information Science, ICIS 2017, Wuhan, China, May 24-26, 2017;16th IEEE/ACIS International Conference on Computer and Information Science;People's Republic of China;Wuhan;;24.05.2017;26.05.2017;IEEE/ACIS International Conference on Computer and Information Science;ICIS;;1393.0;conf/ACISicis
1839;Image Analysis and Processing - ICIAP 2015 - 18th International Conference, Genoa, Italy, September 7-11, 2015;Image Analysis and Processing - 18th International Conference;Italy;Genoa;;07.09.2015;11.09.2015;International Conference on Image Analysis and Processing;ICIAP;;1380.0;conf/iciap
1120;30th Eurographics Symposium on Rendering, EGSR 2019 - Digital Library Only / Industry Track, Strasbourg, France, July 10-12, 2019;30th Eurographics Symposium on Rendering, EGSR 2019 - Digital Library Only / Industry Track;France;Strasbourg;;10.07.2019;12.07.2019;Eurographics Symposium on Rendering;EGSR;;859.0;conf/rt
845;2005 SIAM International Conference on Data Mining, SDM 2005, Newport Beach, CA, USA, April 21-23, 2005;2005 SIAM International Conference on Data Mining;United States of America;Newport Beach;data mining;21.04.2005;23.04.2005;SIAM International Conference on Data Mining;SDM;2001.0;2595.0;conf/sdm
3922;25th Annual Simulation Symposium (ANSS-25 1992), Orlando, Florida, USA, 1992;25th Annual Simulation Symposium;United States of America;Orlando;;;;Annual Simulation Symposium;ANSS;;181.0;conf/anss
7289;IJCNLP 2015;7th International Joint Conference on Natural Language Processing, IJCNLP 2015;People's Republic of China;Beijing;;26.07.2015;31.07.2015;International Joint Conference on Natural Language Processing;IJCNLP;2004.0;1572.0;conf/ijcnlp
706;13th International Conference on Network and Service Management, CNSM 2017, Tokyo, Japan, November 26-30, 2017;13th International Conference on Network and Service Management;Japan;Tokyo;;26.11.2017;30.11.2017;Conference on Network and Service Management;CNSM;;518.0;conf/cnsm
102;Neural Information Processing Systems 2004;;Canada;Whistler;machine learning;13.12.2004;18.12.2004;Conference on Neural Information Processing Systems;NeurIPS;1987.0;2212.0;conf/nips
3951;2015 Asia-Pacific Software Engineering Conference, APSEC 2015, New Delhi, India, December 1-4, 2015;2015 Asia-Pacific Software Engineering Conference;India;New Delhi;software engineering;01.12.2015;04.12.2015;Asia-Pacific Software Engineering Conference;APSEC;1994.0;205.0;conf/apsec
5659;2018 Thirteenth International Conference on Digital Information Management (ICDIM), Berlin, Germany, September 24-26, 2018;2018 Thirteenth International Conference on Digital Information Management;Germany;Berlin;;24.09.2018;26.09.2018;International Conference on Digital Image Computing: Techniques and Applications;DICTA;;710.0;conf/dicta
639;Data Management in Grid and Peer-to-Peer Systems, Second International Conference, Globe 2009, Linz, Austria, September 1-2, 2009;Data Management in Grid and Peer-to-Peer Systems, Second International Conference;Austria;Linz;peer-to-peer;01.09.2009;02.09.2009;International Conference on Data Management in Grid and P2P Systems;Globe;;1137.0;conf/globe
316;ESWC 2009;6th European Semantic Web Conference;Greece;Aldemar Knossos Royal;Semantic Web;31.05.2009;04.06.2009;Extended Semantic Web Conference;ESWC;2004.0;933.0;conf/esws
3871;21st IEEE International Conference on Embedded and Real-Time Computing Systems and Applications, RTCSA 2015, Hong Kong, China, August 19-21, 2015;21st IEEE International Conference on Embedded and Real-Time Computing Systems and Applications;People's Republic of China;Hong Kong;;19.08.2015;21.08.2015;IEEE International Conference on Embedded and Real-Time Computing Systems and Applications;RTCSA;;2510.0;conf/rtcsa
427;Artificial Intelligence and Soft Computing - 12th International Conference, ICAISC 2013, Zakopane, Poland, June 9-13, 2013;Artificial Intelligence and Soft Computing - 12th International Conference;Poland;Zakopane;artificial intelligence;09.06.2013;13.06.2013;International Conference on Artificial Intelligence and Soft Computing;ICAISC;;1277.0;conf/icaisc
5375;Conference on Emerging Network Experiment and Technologies, CoNEXT'23, Paris, France, December 5-8, 2023;Conference on Emerging Network Experiment and Technologies, CoNEXT'23;France;Paris;;05.12.2023;08.12.2023;Conference on Emerging Network Experiment and Technology;CoNEXT;2005.0;555.0;conf/conext
6858;19th International Conference on Enterprise Information Systems;19th International Conference on Enterprise Information Systems;Portugal;Porto;;26.04.2017;29.04.2017;International Conference on Enterprise Information Systems;ICEIS;1999.0;1356.0;conf/iceis
6263;10th Pacific Conference on Computer Graphics and Applications, PG 2002, Beijing, China, October 9-11, 2002;10th Pacific Conference on Computer Graphics and Applications;People's Republic of China;Beijing;computer graphics;09.10.2002;11.10.2002;Pacific Conference on Computer Graphics and Applications;PG;1993.0;2353.0;conf/pg
2468;The Nineteenth International WWW Conference;;United States of America;Raleigh;;26.04.2010;30.04.2010;The Web Conference;WWW;1994.0;3182.0;conf/www
1447;Fourth International Conference on Frontier of Computer Science and Technology, FCST 2009, Shanghai, China, 17-19 December, 2009;Fourth International Conference on Frontier of Computer Science and Technology;People's Republic of China;Shanghai;computer science;17.12.2009;19.12.2009;Frontier of Computer Science and Technology;FCST;;1021.0;conf/fcst
5089;Parallel and Distributed Processing and Applications, 4th International Symposium, ISPA 2006, Sorrento, Italy, December 4-6, 2006;Parallel and Distributed Processing and Applications, 4th International Symposium;Italy;Sorrento;;04.12.2006;06.12.2006;International Symposium on Parallel and Distributed Processing with Applications;ISPA;2003.0;1738.0;conf/ispa
7928;ACM/IEEE Joint Conference on Digital Libraries 2004;;United States of America;Tucson;;07.06.2004;11.06.2004;Joint Conference on Digital Libraries;JCDL;;1880.0;conf/jcdl
5819;Algorithms and Architectures for Parallel Processing, 7th International Conference, ICA3PP 2007, Hangzhou, China, June 11-14, 2007;Algorithms and Architectures for Parallel Processing, 7th International Conference;People's Republic of China;Hangzhou;;11.06.2007;14.06.2007;International Conference on Algorithms and Architectures for Parallel Processing;ICA3PP;;1266.0;conf/ica3pp
3030;2005 IEEE International Conference on Wireless And Mobile Computing, Networking And Communications, WiMob 2005, Montreal, Canada, August 22-14, 2005;2005 IEEE International Conference on Wireless And Mobile Computing, Networking And Communications;Canada;Montreal;;22.08.2005;14.08.2005;IEEE International Conference on Wireless and Mobile Computing, Networking and Communications;WiMob;2005.0;3077.0;conf/wimob
7573;27th International Conference on Compiler Construction, CC 2018, February 24-25, 2018, Vienna, Austria;27th International Conference on Compiler Construction;Austria;Vienna;;;;International Conference on Compiler Construction;CC;;379.0;conf/cc
1754;16th ACM Great Lakes Symposium on VLSI 2006, Philadelphia, PA, USA, April 30 - May 1, 2006;16th ACM Great Lakes Symposium on VLSI;United States of America;Philadelphia;very-large-scale integration;30.04.2006;01.05.2006;ACM Great Lakes Symposium on VLSI;GLSVLSI;;1139.0;conf/glvlsi
2696;International Conference on Supercomputing, ICS 2017, Chicago, IL, USA, June 14-16, 2017;International Conference on Supercomputing, ICS 2017;United States of America;Chicago;;14.06.2017;16.06.2017;International Conference on Supercomputing;ICS;1987.0;1457.0;conf/ics
7648;47th International Conference on Very Large Data Bases;47th International Conference on Very Large Data Bases;Denmark;Copenhagen;;16.08.2021;20.08.2021;International Conference on Very Large Data Bases;;1975.0;2954.0;conf/vldb
4788;Distributed Applications and Interoperable Systems - 18th IFIP WG 6.1 International Conference, DAIS 2018, Held as Part of the 13th International Federated Conference on Distributed Computing Techniques, DisCoTec 2018, Madrid, Spain, June 18-21, 2018;Distributed Applications and Interoperable Systems - 18th IFIP WG 6.1 International Conference, DAIS 2018, Held as Part of the 13th International Federated Conference on Distributed Computing Techniques;Spain;Madrid;;18.06.2018;21.06.2018;IFIP International Conference on Distributed Applications and Interoperable Systems;DAIS;1997.0;636.0;conf/dais
1674;13th Annual Conference of the NZ ACM Special Interest Group on Human-Computer Interaction, CHINZ '12, Dunedin, New Zealand - July 02 - 03, 2012;13th Annual Conference of the NZ ACM Special Interest Group on Human-Computer Interaction;New Zealand;Dunedin;human–computer interaction;02.07.2012;03.07.2012;ACM SIGCHI New Zealand Chapter's International Conference on Computer-Human Interaction;CHINZ;;437.0;conf/chinz
7986;36th European Conference on IR Research, ECIR 2014, Amsterdam, The Netherlands, April 13-16, 2014;36th European Conference on IR Research;Netherlands;Amsterdam;;13.04.2014;16.04.2014;European Conference on Information Retrieval;ECIR;;807.0;conf/ecir
5668;Discovery Science, 10th International Conference, DS 2007, Sendai, Japan, October 1-4, 2007;Discovery Science, 10th International Conference;Japan;Sendai;;01.10.2007;04.10.2007;International Conference on Discovery Science;DS;;761.0;conf/dis
105;Neural Information Processing Systems 1995;Neural Information Processing Systems 1995;United States of America;Denver;;27.11.1995;02.12.1995;Conference on Neural Information Processing Systems;NeurIPS;1987.0;2212.0;conf/nips
972;19th International Conference on Information Visualisation, IV 2015, Barcelona, Spain, July 22-24, 2015;19th International Conference on Information Visualisation;Spain;Barcelona;;22.07.2015;24.07.2015;International Conference on Information Visualisation;IV;1997.0;1803.0;conf/iv
686;Seventh International Conference on Creating, Connecting and Collaborating through Computing, C<sup>5</sup> 2009, Kyoto, Japan, 19-22 January 2009;Seventh International Conference on Creating, Connecting and Collaborating through Computing, C<sup>5</sup> 2009;Japan;Kyoto;;19.01.2009;22.01.2009;Conference on Creating, Connecting and Collaborating through Computing;C5;;335.0;conf/c5
6908;2017 Conference on Interaction Design and Children, Stanford, CA, USA, June 27-30, 2017;2017 Conference on Interaction Design and Children;United States of America;Stanford;interaction design;27.06.2017;30.06.2017;International Conference on Interaction Design and Children;IDC;;1521.0;conf/acmidc
