conf_label;title;country;country_qid;location;location_qid;main_subject;start_time;end_time;series_label;series_short_name;WikiCFP_identifier;DBLP_identifier
Digital Humanities 2018;Digital Humanities 2018;Mexico;Q96;Red de Humanidades Digitales;Q97482734;digital humanities;2018-06-26T00:00:00.000000;2018-06-28T00:00:00.000000;Digital Humanities;DH;;conf/dihu
Digital Humanities 2018;Digital Humanities 2018;Mexico;Q96;El Colegio de México;Q1324001;digital humanities;2018-06-26T00:00:00.000000;2018-06-28T00:00:00.000000;Digital Humanities;DH;;conf/dihu
Digital Humanities 2018;Digital Humanities 2018;Mexico;Q96;Mexico City;Q1489;digital humanities;2018-06-26T00:00:00.000000;2018-06-28T00:00:00.000000;Digital Humanities;DH;;conf/dihu
Digital Humanities 2018;Digital Humanities 2018;Mexico;Q96;Red de Humanidades Digitales;Q97482734;digital humanities;2018-06-24T00:00:00.000000;2018-06-28T00:00:00.000000;Digital Humanities;DH;;conf/dihu
Digital Humanities 2018;Digital Humanities 2018;Mexico;Q96;El Colegio de México;Q1324001;digital humanities;2018-06-24T00:00:00.000000;2018-06-28T00:00:00.000000;Digital Humanities;DH;;conf/dihu
Digital Humanities 2018;Digital Humanities 2018;Mexico;Q96;Mexico City;Q1489;digital humanities;2018-06-24T00:00:00.000000;2018-06-28T00:00:00.000000;Digital Humanities;DH;;conf/dihu
The 35th Conference on Uncertainty in Artificial Intelligence;;Israel;Q801;Tel Aviv;Q33935;artificial intelligence;2019-07-22T00:00:00.000000;2019-07-25T00:00:00.000000;Conference on Uncertainty in Artificial Intelligence;UAI;2888;conf/uai
IMC 2017;;United Kingdom;Q145;University of Leeds;Q503424;;2017-07-03T00:00:00.000000;2017-07-06T00:00:00.000000;International Medieval Congress;;;
IMC 2018;;United Kingdom;Q145;University of Leeds;Q503424;;2018-07-02T00:00:00.000000;2018-07-05T00:00:00.000000;International Medieval Congress;;;
Euralex 2020;Lexicography for Inclusion;Greece;Q41;Alexandroupolis;Q190847;lexicography;2021-09-07T00:00:00.000000;2021-09-09T00:00:00.000000;Euralex conference series;EURALEX;;
The 42nd IEEE International Conference on Acoustics, Speech and Signal Processing;The 42nd IEEE International Conference on Acoustics, Speech and Signal Processing;United States of America;Q30;New Orleans;Q34404;;2017-03-05T00:00:00.000000;2017-03-09T00:00:00.000000;International Conference on Acoustics, Speech, and Signal Processing;ICASSP;1289;conf/icassp
ICASSP 2000;;Turkey;Q43;Istanbul;Q406;;2000-06-05T00:00:00.000000;2000-06-09T00:00:00.000000;International Conference on Acoustics, Speech, and Signal Processing;ICASSP;1289;conf/icassp
ICASSP 2015;;Australia;Q408;;;signal processing;2014-04-19T00:00:00.000000;2014-04-24T00:00:00.000000;International Conference on Acoustics, Speech, and Signal Processing;ICASSP;1289;conf/icassp
1994 International Conference on Acoustics, Speech & Signal Processing;;Australia;Q408;Adelaide Convention Centre;Q4681697;;1994-04-19T00:00:00.000000;1994-04-22T00:00:00.000000;International Conference on Acoustics, Speech, and Signal Processing;ICASSP;1289;conf/icassp
ICASSP 2003;;;;Hong Kong;Q8646;;2003-05-06T00:00:00.000000;2003-05-10T00:00:00.000000;International Conference on Acoustics, Speech, and Signal Processing;ICASSP;1289;conf/icassp
ICASSP 2004;;Canada;Q16;Montreal;Q340;;2004-05-17T00:00:00.000000;2004-05-21T00:00:00.000000;International Conference on Acoustics, Speech, and Signal Processing;ICASSP;1289;conf/icassp
ICASSP 2005;;United States of America;Q30;Philadelphia;Q1345;;2005-03-19T00:00:00.000000;2005-03-23T00:00:00.000000;International Conference on Acoustics, Speech, and Signal Processing;ICASSP;1289;conf/icassp
Thirty-seventh International Conference on Machine Learning;Thirty-seventh International Conference on Machine Learning;Austria;Q40;Messe Wien;Q1924056;machine learning;2020-07-12T00:00:00.000000;2020-07-18T00:00:00.000000;International Conference on Machine Learning;ICML;1421;conf/icml
The 23rd International Conference on Artificial Intelligence and Statistics;The 23rd International Conference onArtificial Intelligence and Statistics;Italy;Q38;Palermo;Q2656;;2020-06-03T00:00:00.000000;2020-06-05T00:00:00.000000;International Conference on Artificial Intelligence and Statistics;AISTATS;;conf/aistats
Neural Information Processing Systems 1994;Neural Information Processing Systems 1994;United States of America;Q30;Denver;Q16554;;;;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
The Knowledge Graph Conference 2020;;United States of America;Q30;Columbia University;Q49088;knowledge graph;2020-05-04T00:00:00.000000;2020-05-07T00:00:00.000000;Knowledge Graph Conference;KGC;;
Neural Information Processing Systems 2000;Neural Information Processing Systems 2000;United States of America;Q30;Denver;Q16554;;;;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
Neuro Information Processing Systems 1993;;United States of America;Q30;Denver;Q16554;;;;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
Neural Information Processing Systems 1991;Neural Information Processing Systems 1991;United States of America;Q30;Denver;Q16554;;1991-12-02T00:00:00.000000;1991-12-07T00:00:00.000000;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
Neural Information Processing Systems 1988;Neural Information Processing Systems 1988;United States of America;Q30;Denver;Q16554;;;;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
Neural Information Processing Systems 1987;Neural Information Processing Systems 1987;United States of America;Q30;Denver;Q16554;;;;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
Neural Information Processing Systems 1989;Neural Information Processing Systems 1989;United States of America;Q30;Denver;Q16554;;;;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
Twenty-ninth Conference on Neural Information Processing Systems;Twenty-ninth Conference on Neural Information Processing Systems;Canada;Q16;Palais des congrès de Montréal;Q2476712;;2015-12-07T00:00:00.000000;2015-12-12T00:00:00.000000;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
Neural Information Processing Systems 1990;;United States of America;Q30;Denver;Q16554;;;;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
NIPS 1992;;United States of America;Q30;Denver;Q16554;;;;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
Twenty-eighth Conference on Neural Information Processing Systems;Twenty-eighth Conference on Neural Information Processing Systems;Canada;Q16;Palais des congrès de Montréal;Q2476712;;2014-12-08T00:00:00.000000;2014-12-13T00:00:00.000000;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
Twenty-sixth Conference on Neural Information Processing Systems;Twenty-sixth Conference on Neural Information Processing Systems;United States of America;Q30;;;;2012-12-03T00:00:00.000000;2012-12-08T00:00:00.000000;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
Twenty-fifth Conference on Neural Information Processing Systems;Twenty-fifth Conference on Neural Information Processing Systems;Spain;Q29;Granada;Q8810;;2011-12-12T00:00:00.000000;2011-12-17T00:00:00.000000;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
Twenty-fourth Conference on Neural Information Processing Systems;Twenty-fourth Conference on Neural Information Processing Systems;Canada;Q16;Hyatt Regency Vancouver;Q14874629;;2010-12-06T00:00:00.000000;2010-12-11T00:00:00.000000;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
Twenty-Third Annual Conferenceon Neural Information Processing Systems;Twenty-Third Annual Conferenceon Neural Information Processing Systems;Canada;Q16;Hyatt Regency Vancouver;Q14874629;;;;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
Twenty-Second Annual Conference on Neural Information Processing Systems;Twenty-Second Annual Conference on Neural Information Processing Systems;Canada;Q16;Hyatt Regency Vancouver;Q14874629;machine learning;2008-12-08T00:00:00.000000;2008-12-13T00:00:00.000000;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
Twenty-first Conference on Neural Information Processing Systems;Twenty-first Conference on Neural Information Processing Systems;;;;;;2007-12-03T00:00:00.000000;2007-12-08T00:00:00.000000;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
Twentieth Conference on Neural Information Processing Systems;Twentieth Conference on Neural Information Processing Systems;Canada;Q16;Hyatt Regency Vancouver;Q14874629;;2006-12-04T00:00:00.000000;2006-12-09T00:00:00.000000;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
Twentieth Conference on Neural Information Processing Systems;Twentieth Conference on Neural Information Processing Systems;Canada;Q16;Whistler;Q203122;;2006-12-04T00:00:00.000000;2006-12-09T00:00:00.000000;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
Neural Information Processing Systems 2005;Advances in Neural Information Processing Systems 18;Canada;Q16;Vancouver;Q24639;;;;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
NIPS 2003;;;;;;;;;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
NIPS 2002;;;;;;;;;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
NIPS 2001;;;;;;;;;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
NIPS 1999;;;;;;;;;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
NIPS 1998;;;;;;;;;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
NIPS 1997;;;;;;;;;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
NIPS 1996;;;;;;;;;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
Thirty-fourth Conference on Neural Information Processing Systems;Thirty-fourth Conference on Neural Information Processing Systems;Canada;Q16;Vancouver;Q24639;;2020-12-06T00:00:00.000000;2020-12-12T00:00:00.000000;Conference on Neural Information Processing Systems;NeurIPS;2212;conf/nips
The 19th International Semantic web Conference;The 19th International Semantic Web Conference;Greece;Q41;Athens;Q1524;;2020-11-02T00:00:00.000000;2020-11-06T00:00:00.000000;International Semantic Web Conference;ISWC;1769;conf/semweb
26th International Conference on Neural Information Processing of the Asia-Pacific Neural Network;;Australia;Q408;Sydney;Q3130;;2019-12-12T00:00:00.000000;2019-12-15T00:00:00.000000;International Conference on Neural Information Processing;ICONIP;1438;conf/iconip
The 25th International Conference on Neural Information Processing;The 25th International Conference on Neural Information Processing;Cambodia;Q424;Siem Reap;Q11711;;2018-12-13T00:00:00.000000;2018-12-16T00:00:00.000000;International Conference on Neural Information Processing;ICONIP;1438;conf/iconip
22nd International Conference on Neural Information Processing;22nd International Conference on Neural Information Processing;Turkey;Q43;Istanbul;Q406;;2015-11-09T00:00:00.000000;2015-11-12T00:00:00.000000;International Conference on Neural Information Processing;ICONIP;1438;conf/iconip
The 24th International Conference On Neural Information Processing;The 24th International Conference On Neural Information Processing;People's Republic of China;Q148;Guangzhou;Q16572;;2017-11-14T00:00:00.000000;2017-11-18T00:00:00.000000;International Conference on Neural Information Processing;ICONIP;1438;conf/iconip
16th International Conference on Semantic Systems;16th International Conference on Semantic Systems;Netherlands;Q55;Amsterdam;Q727;;2020-09-07T00:00:00.000000;2020-09-10T00:00:00.000000;SEMANTiCS;;;
The 21st Annual Meeting of the Special Interest Group on Discourse and Dialogue;The 21st Annual Meeting of the Special Interest Group on Discourse and  Dialogue;United States of America;Q30;Jack's Urban Meeting Place;Q65075041;;2020-07-01T00:00:00.000000;2020-07-03T00:00:00.000000;Annual Meeting of the Special Interest Group on Discourse and Dialogue;SIGDIAL;;conf/sigdial
41st Theoretical Archaeology Group Conference;;United Kingdom;Q145;UCL Institute of Education;Q904416;archaeological theory;2019-12-16T00:00:00.000000;2019-12-18T00:00:00.000000;Theoretical Archaeology Group;;;
EUROCRYPT '84 (1984 University of Paris, Sorbonne);;France;Q142;Paris;Q90;;1984-04-09T00:00:00.000000;1984-04-11T00:00:00.000000;Eurocrypt;EUROCRYPT;958;conf/eurocrypt
EUROCRYPT '92 (1992 Balatonfüred, Hungary);;Hungary;Q28;Balatonfüred;Q680743;;1992-05-24T00:00:00.000000;1992-05-28T00:00:00.000000;Eurocrypt;EUROCRYPT;958;conf/eurocrypt
2019 International Conference of Young Scientists and GYA Annual General Meeting;2019 International Conference of Young Scientists and GYA Annual General Meeting;Germany;Q183;Halle (Saale);Q2814;;2019-04-29T00:00:00.000000;2019-05-03T00:00:00.000000;International Conference of Young Scientists and GYA Annual General Meeting;;;
2018 International Conference of Young Scientists and GYA Annual General Meeting;2018 International Conference of Young Scientists and GYA Annual General Meeting (English);Thailand;Q869;Pattaya;Q170919;;;;International Conference of Young Scientists and GYA Annual General Meeting;;;
Ninth annual Space and Settlement in the Middle Ages Conference;;Republic of Ireland;Q27;Trinity College Dublin;Q258464;;2018-03-23T00:00:00.000000;2018-03-24T00:00:00.000000;Space and Settlement in the Middle Ages Conference;;;
The 2020 Conference on Empirical Methods in Natural Language Processing;The 2020 Conference on Empirical Methods in Natural Language Processing;;;;;natural language processing;2020-11-16T00:00:00.000000;2020-11-20T00:00:00.000000;Empirical Methods in Natural Language Processing;EMNLP;883;conf/emnlp
33rd Theoretical Archaeology Group Conference;;United Kingdom;Q145;University of Birmingham;Q223429;archaeological theory;2011-12-14T00:00:00.000000;2011-12-16T00:00:00.000000;Theoretical Archaeology Group;;;
16. Solvay Conference on Physics;Astrophysics and Gravitation;Belgium;Q31;;;;;;Solvay Conference for physics;;;
17. Solvay Conference on Physics;Order and Fluctuations in Equilibrium and Nonequilibrium Statistical Mechanics;Belgium;Q31;;;;;;Solvay Conference for physics;;;
22. Solvay Conference on Physics;The Physics of Communication[1];Belgium;Q31;;;;;;Solvay Conference for physics;;;
20. Solvay Conference on Physics;Quantum Optics;Belgium;Q31;;;;;;Solvay Conference for physics;;;
21. Solvay Conference on Physics;Dynamical Systems and Irreversibility;Belgium;Q31;;;;;;Solvay Conference for physics;;;
25. Solvay Conference on Physics;The theory of the quantum world[4];Belgium;Q31;;;;;;Solvay Conference for physics;;;
26. Solvay Conference on Physics;Astrophysics and Cosmology;Belgium;Q31;;;;;;Solvay Conference for physics;;;
23. Solvay Conference on Physics;The Quantum Structure of Space and Time[2];Belgium;Q31;;;;;;Solvay Conference for physics;;;
24. Solvay Conference on Physics;Quantum Theory of Condensed Matter[3];Belgium;Q31;;;;;;Solvay Conference for physics;;;
27. Solvay Conference on Physics;The Physics of Living Matter: Space, Time and Information in Biology;Belgium;Q31;;;;;;Solvay Conference for physics;;;
11th International Conference on Social Informatics;11th International Conference on Social Informatics;Qatar;Q846;Doha;Q3861;social informatics;2019-11-18T00:00:00.000000;2019-11-21T00:00:00.000000;International Conference on Social Informatics;SocInfo;;conf/socinfo
CHI 2019;CHI 2019;United Kingdom;Q145;SEC Centre;Q7437720;human–computer interaction;2019-05-04T00:00:00.000000;2019-05-09T00:00:00.000000;Conference on Human Factors in Computing Systems;CHI;435;conf/chi
Conference on Natural Language Processing 2019;;Germany;Q183;Kollegienhaus;Q41299085;natural language processing;2019-10-09T00:00:00.000000;2019-10-11T00:00:00.000000;Conference on Natural Language Processing;KONVENS;1914;conf/konvens
The Web Conference 2019;The Web Conference 2019;United States of America;Q30;Hyatt Regency San Francisco;Q5952911;;2019-05-13T00:00:00.000000;2019-05-18T00:00:00.000000;The Web Conference;WWW;3182;conf/www
Thirty-fourth International Conference on Machine Learning;;Australia;Q408;Sydney;Q3130;machine learning;;;International Conference on Machine Learning;ICML;1421;conf/icml
ESWS 2004;1st European Semantic Web Symposium (ESWS2004);Greece;Q41;Aldemar Knossos Royal;Q47259960;;2004-05-10T00:00:00.000000;2004-05-12T00:00:00.000000;Extended Semantic Web Conference;ESWC;933;conf/esws
ESWS 2004;1st European Semantic Web Symposium (ESWS2004);Greece;Q41;Aldemar Knossos Royal;Q47259960;;2004-05-10T00:00:00.000000;2004-05-12T00:00:00.000000;Extended Semantic Web Conference;ESWC;932;conf/esws
ESWC 2005;2nd European Semantic Web Conference (ESWC2005);Greece;Q41;Aldemar Knossos Royal;Q47259960;Semantic Web;2005-05-29T00:00:00.000000;2005-06-01T00:00:00.000000;Extended Semantic Web Conference;ESWC;933;conf/esws
ESWC 2005;2nd European Semantic Web Conference (ESWC2005);Greece;Q41;Aldemar Knossos Royal;Q47259960;Semantic Web;2005-05-29T00:00:00.000000;2005-06-01T00:00:00.000000;Extended Semantic Web Conference;ESWC;932;conf/esws
ESWC 2006;3rd Annual European Semantic Web Conference;Montenegro;Q236;Budva;Q174237;;2006-06-11T00:00:00.000000;2006-06-14T00:00:00.000000;Extended Semantic Web Conference;ESWC;933;conf/esws
ESWC 2006;3rd Annual European Semantic Web Conference;Montenegro;Q236;Budva;Q174237;;2006-06-11T00:00:00.000000;2006-06-14T00:00:00.000000;Extended Semantic Web Conference;ESWC;932;conf/esws
ESWC 2007;4th European Semantic Web Conference;Austria;Q40;Innsbruck;Q1735;;2007-06-03T00:00:00.000000;2007-06-07T00:00:00.000000;Extended Semantic Web Conference;ESWC;933;conf/esws
ESWC 2007;4th European Semantic Web Conference;Austria;Q40;Innsbruck;Q1735;;2007-06-03T00:00:00.000000;2007-06-07T00:00:00.000000;Extended Semantic Web Conference;ESWC;932;conf/esws
ESWC 2008;;Spain;Q29;Tenerife;Q40846;;2008-06-01T00:00:00.000000;2008-06-05T00:00:00.000000;Extended Semantic Web Conference;ESWC;933;conf/esws
ESWC 2008;;Spain;Q29;Tenerife;Q40846;;2008-06-01T00:00:00.000000;2008-06-05T00:00:00.000000;Extended Semantic Web Conference;ESWC;932;conf/esws
ESWC 2009;6th European Semantic Web Conference;Greece;Q41;Aldemar Knossos Royal;Q47259960;Semantic Web;2009-05-31T00:00:00.000000;2009-06-04T00:00:00.000000;Extended Semantic Web Conference;ESWC;933;conf/esws
ESWC 2009;6th European Semantic Web Conference;Greece;Q41;Aldemar Knossos Royal;Q47259960;Semantic Web;2009-05-31T00:00:00.000000;2009-06-04T00:00:00.000000;Extended Semantic Web Conference;ESWC;932;conf/esws
ESWC 2013;;France;Q142;Montpellier;Q6441;;2013-05-26T00:00:00.000000;2013-05-30T00:00:00.000000;Extended Semantic Web Conference;ESWC;933;conf/esws
ESWC 2013;;France;Q142;Montpellier;Q6441;;2013-05-26T00:00:00.000000;2013-05-30T00:00:00.000000;Extended Semantic Web Conference;ESWC;932;conf/esws
ESWC 2014;;Greece;Q41;Aldemar Knossos Royal;Q47259960;;2014-05-25T00:00:00.000000;2014-05-29T00:00:00.000000;Extended Semantic Web Conference;ESWC;933;conf/esws
ESWC 2014;;Greece;Q41;Aldemar Knossos Royal;Q47259960;;2014-05-25T00:00:00.000000;2014-05-29T00:00:00.000000;Extended Semantic Web Conference;ESWC;932;conf/esws
ESWC 2015;;Slovenia;Q215;Grand Hotel Bernardin;Q12790297;;2015-05-31T00:00:00.000000;2015-06-04T00:00:00.000000;Extended Semantic Web Conference;ESWC;933;conf/esws
ESWC 2015;;Slovenia;Q215;Grand Hotel Bernardin;Q12790297;;2015-05-31T00:00:00.000000;2015-06-04T00:00:00.000000;Extended Semantic Web Conference;ESWC;932;conf/esws
ESWC 2010;;Greece;Q41;Aldemar Knossos Royal;Q47259960;;2010-05-30T00:00:00.000000;2010-06-03T00:00:00.000000;Extended Semantic Web Conference;ESWC;933;conf/esws
ESWC 2010;;Greece;Q41;Aldemar Knossos Royal;Q47259960;;2010-05-30T00:00:00.000000;2010-06-03T00:00:00.000000;Extended Semantic Web Conference;ESWC;932;conf/esws
24th International World Wide Web Conference;;Italy;Q38;Florence;Q2044;;2015-05-18T00:00:00.000000;2015-05-22T00:00:00.000000;The Web Conference;WWW;3182;conf/www
ESWC 2020;;Greece;Q41;Aldemar Knossos Royal;Q47259960;Semantic Web;2020-05-31T00:00:00.000000;2020-06-04T00:00:00.000000;Extended Semantic Web Conference;ESWC;933;conf/esws
ESWC 2020;;Greece;Q41;Aldemar Knossos Royal;Q47259960;Semantic Web;2020-05-31T00:00:00.000000;2020-06-04T00:00:00.000000;Extended Semantic Web Conference;ESWC;932;conf/esws
12th International SWAT4HCLS conference;;United Kingdom;Q145;Edinburgh;Q23436;;2019-12-09T00:00:00.000000;2019-12-12T00:00:00.000000;Semantic Web Applications and Tools for Healthcare and Life Sciences;SWAT4HCLS;;conf/swat4ls
42nd European Conference on Information Retrieval;42nd European Conference on Information Retrieval;Portugal;Q45;NOVA University Lisbon;Q1979891;information retrieval;2020-04-14T00:00:00.000000;2020-04-17T00:00:00.000000;European Conference on Information Retrieval;ECIR;807;conf/ecir
42nd European Conference on Information Retrieval;42nd European Conference on Information Retrieval;Portugal;Q45;Lisbon;Q597;information retrieval;2020-04-14T00:00:00.000000;2020-04-17T00:00:00.000000;European Conference on Information Retrieval;ECIR;807;conf/ecir
